title,url,page_signal_score,purpose_hits,impact_hits,leadership_purpose_co_mentions,strategy_hits,capital_hits,employee_hits,execution_hits,capability_hits,industry_hits,source_file
Apple Events - Apple,https://www.apple.com/apple-events,4.7,0,5,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Tor Myhren - Apple,https://www.apple.com/leadership/tor-myhren,4.7,0,0,0,0,0,0,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Cash - Apple,https://www.apple.com/apple-cash,4.6,0,0,0,0,2,0,4,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple News+ - Apple,https://www.apple.com/apple-news,4.5,0,1,0,0,0,0,1,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Luca Maestri - Apple,https://www.apple.com/leadership/luca-maestri,4.5,0,1,0,0,1,1,0,4,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Katherine Adams - Apple,https://www.apple.com/leadership/katherine-adams,4.4,0,0,0,1,0,1,0,0,1,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Buy Apple Vision Pro - Apple,https://www.apple.com/us/shop/goto/buy_vision/apple_vision_pro,4.4,0,1,0,0,0,1,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Kristin Huguet Quayle - Apple,https://www.apple.com/leadership/kristin-huguet-quayle,4.4,0,0,0,1,0,1,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Today at Apple - Group Reservations - Apple,https://www.apple.com/today/groups,4.3,0,1,0,0,0,0,0,2,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Reasonable Accommodation - Careers at Apple,https://www.apple.com/careers/us/accommodation.html,4.2,0,0,0,0,0,4,0,0,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Ronald D. Sugar Joins Apple’s Board of Directors - Apple,https://www.apple.com/newsroom/2010/11/17Ronald-D-Sugar-Joins-Apples-Board-of-Directors,4.2,0,0,0,1,2,0,0,3,2,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple TV - Apple,https://www.apple.com/apple-tv,4.1,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Music - Apple,https://www.apple.com/apple-music,4.0,0,1,0,0,2,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Adrian Perica - Apple,https://www.apple.com/leadership/adrian-perica,3.9,0,0,0,1,1,0,0,4,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Jennifer Newstead - Apple,https://www.apple.com/leadership/jennifer-newstead,3.7,0,0,0,0,0,1,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Phil Schiller - Apple,https://www.apple.com/leadership/phil-schiller,3.7,0,0,0,0,0,1,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Johny Srouji - Apple,https://www.apple.com/leadership/johny-srouji,3.7,0,0,0,0,0,0,1,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
AirTag - Apple,https://www.apple.com/airtag,3.7,0,0,0,0,0,0,1,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
OS - visionOS 26 - Apple,https://www.apple.com/os/visionos,3.6,0,2,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - John Ternus - Apple,https://www.apple.com/leadership/john-ternus,3.2,0,0,0,0,0,0,0,3,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple Leadership - Isabel Ge Mahe - Apple,https://www.apple.com/leadership/isabel-ge-mahe,3.2,0,0,0,0,0,0,0,1,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
Apple - Choose your country or region,https://www.apple.com/careers/choose-country-region.html,3.2,0,0,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\selected_10_companies\Apple_Inc\pages.csv
2016_10K_2016-10-26_full_submission,,2.8,0,1,0,0,0,0,0,0,0,C:\Users\Kelno\OneDrive\Documents\purpose_driven_score\purpose_driven_scoring\data\data\10Ks\edgar\AAPL\2016_10K_2016-10-26_full_submission.txt
